47;81;289
152;163;60
52;81;200
298;83;242
269;97;160
171;110;61
158;116;235
218;172;18
44;172;160
224;187;290
169;280;207
97;39;98
135;174;188
55;151;23
46;283;203
237;69;244
75;274;192
285;296;133
180;84;110
252;26;205
196;147;245
52;185;76
230;177;99
98;127;299
87;124;240
77;85;30
272;23;165
270;219;53
184;187;48
278;15;147
161;51;38
277;272;47
141;65;183
280;23;147
169;20;223
126;61;205
211;74;155
39;294;249
178;30;103
194;221;168
87;196;152
221;174;242
195;141;220
117;92;242
283;289;124
233;216;98
129;179;257
208;97;104
290;122;99
60;236;274
214;178;150
86;42;233
93;26;52
93;179;58
132;269;267
19;182;39
122;185;84
228;121;89
219;289;264
221;110;224
18;251;130
69;9;167
28;22;153
41;99;152
115;195;266
210;180;157
288;49;269
289;207;180
149;286;192
121;64;237
145;206;125
23;42;37
281;201;110
138;214;174
35;212;225
187;28;44
29;32;290
98;245;89
95;103;191
56;216;42
106;36;170
280;247;89
64;159;125
194;146;234
236;71;128
118;135;242
237;179;269
240;25;93
99;284;218
195;14;280
276;16;13
37;183;24
59;180;107
169;54;286
203;212;152
227;211;79
120;149;20
68;205;243
198;65;90
264;133;64
17;168;108
257;165;7
287;28;164
97;175;38
199;261;96
159;115;12
268;11;123
127;153;11
190;293;57
56;163;207
145;102;42
200;130;148
14;144;85
61;69;2
81;294;74
146;151;295
189;173;89
262;246;108
197;75;202
228;267;169
177;179;244
230;209;142
93;216;137
223;46;253
275;6;21
24;5;99
72;125;248
91;91;42
99;25;220
103;246;78
268;41;205
67;30;14
134;62;250
159;61;275
207;147;185
291;241;249
56;227;23
237;252;291
78;15;91
238;41;230
74;289;203
35;3;15
224;291;10
48;10;101
15;99;219
11;75;82
174;73;28
45;263;275
26;231;5
126;26;160
286;193;133
249;125;36
260;286;32
164;5;121
238;55;143
35;188;55
19;236;258
231;61;210
193;123;27
148;286;270
35;229;63
91;126;125
192;69;264
259;242;243
31;257;58
37;149;79
23;265;191
177;249;23
273;196;264
216;153;295
59;232;50
231;135;29
275;90;112
213;4;274
72;69;31
26;292;77
75;106;263
93;20;230
231;78;102
191;11;155
37;144;227
41;220;74
46;297;57
92;235;141
281;19;93
265;167;132
77;86;176
122;55;192
296;16;96
131;273;45
263;270;250
204;62;274
254;164;214
244;190;79
228;16;139
34;255;25
103;154;193
285;91;24
73;207;101
59;131;285
64;148;270
298;268;146
5;258;252
185;198;231
50;10;99
180;31;82
122;287;76
98;265;247
149;73;251
156;298;169
295;114;276
114;156;42
70;66;62
286;119;133
253;219;181
33;126;269
218;293;201
82;122;98
257;144;62
174;148;54
288;50;113
91;16;232
22;277;48
134;33;178
150;68;249
110;279;236
207;110;152
31;192;66
253;292;284
285;180;189
11;110;289
185;100;227
225;16;251
99;255;103
113;119;148
185;277;235
189;127;280
185;45;101
193;61;279
291;145;136
44;158;9
179;196;112
92;114;86
243;239;178
259;95;117
68;62;201
42;213;31
292;202;39
22;54;161
196;110;67
211;23;199
194;47;65
2;92;20
134;191;205
201;47;11
297;20;104
244;197;70
92;269;125
222;290;71
296;152;10
52;205;296
203;206;116
132;115;274
216;277;192
220;156;213
26;228;11
247;202;186
89;25;282
24;113;32
133;36;156
135;191;88
278;8;298
264;48;180
28;4;280
153;266;63
119;261;86
281;274;13
214;191;214
201;127;10
203;195;150
277;172;58
50;177;39
70;228;184
5;213;287
133;29;230
100;248;126
253;85;240
45;176;250
126;144;42
176;19;239
116;25;116
105;270;48
198;35;50
159;183;191
104;9;204
56;234;164
88;155;257
242;272;17
140;4;13
114;278;86
243;123;260
113;285;92
255;53;9
42;206;152
270;32;9
49;102;241
161;96;238
71;73;79
44;1;247
11;146;61
243;57;193
8;102;114
58;27;75
122;38;17
298;267;15
286;237;138
96;287;292
83;32;228
202;185;150
47;35;223
268;121;148
61;256;118
64;45;8
179;126;194
161;167;242
158;99;155
236;71;269
97;284;79
21;26;225
273;278;43
35;173;150
129;117;259
251;260;54
276;82;165
6;165;162
230;231;24
165;230;96
128;11;227
9;162;265
193;112;174
143;171;220
183;84;109
74;218;283
70;88;173
263;264;68
289;111;11
19;188;139
214;174;240
131;288;277
183;18;207
178;94;37
153;183;46
280;97;45
48;192;33
274;13;162
48;47;234
167;156;110
267;93;53
275;105;217
141;254;59
255;31;175
177;172;191
31;100;142
72;146;175
34;158;100
130;135;51
9;94;174
5;93;125
26;234;117
26;254;5
288;9;182
172;186;224
137;18;266
88;20;200
116;2;198
166;229;152
220;42;299
204;187;223
132;168;29
127;115;260
25;115;222
89;249;72
42;99;43
212;113;63
167;117;150
29;218;22
283;197;74
267;222;199
126;163;8
32;53;54
121;282;188
291;295;113
280;193;262
92;150;40
31;205;109
66;57;218
146;296;43
263;52;151
204;131;118
146;139;142
207;237;89
243;3;183
9;208;257
55;146;83
44;35;277
165;119;236
110;64;123
14;162;63
183;17;38
182;159;21
20;269;273
176;5;235
146;39;213
150;199;250
115;259;61
139;248;136
274;105;255
22;97;244
256;32;55
142;163;66
217;120;205
13;258;104
134;124;128
130;246;80
284;253;82
93;158;66
93;140;23
61;57;256
227;20;217
77;138;206
153;158;294
70;147;180
139;19;123
138;277;117
196;22;128
137;59;30
271;65;243
209;237;191
17;286;293
243;97;226
270;142;160
66;257;158
292;264;295
286;249;272
125;223;189
136;161;107
215;38;131
226;148;259
261;61;136
290;173;94
218;103;97
183;71;181
4;143;51
246;3;83
293;117;73
12;215;282
74;12;223
212;168;157
10;217;199
257;29;36
197;61;49
54;253;96
174;6;73
90;124;176
194;29;71
280;25;138
293;94;16
190;142;58
12;80;13
135;136;111
133;142;139
175;226;192
158;12;14
68;83;135
291;231;161
155;272;2
281;295;248
290;106;269
200;109;221
222;17;133
127;109;197
90;105;229
294;160;44
130;68;240
105;296;192
56;66;14
74;152;219
196;233;154
212;241;293
241;199;93
97;159;32
258;194;94
243;263;7
210;179;60
140;49;128
298;107;19
122;190;178
286;215;33
265;122;53
165;242;283
171;299;70
227;102;279
10;128;79
148;297;176
95;133;243
224;241;184
43;81;264
17;195;25
141;127;100
34;223;112
22;72;267
128;147;244
148;257;228
1;12;298
222;204;257
91;16;184
212;229;115
28;59;31
66;258;25
271;66;156
38;218;242
283;65;16
159;296;264
43;93;246
239;118;7
146;270;287
262;134;25
11;289;14
4;242;133
24;236;143
110;167;113
263;114;171
15;107;274
63;214;275
81;267;160
157;40;42
75;175;278
107;174;182
96;263;148
1;53;285
99;145;220
170;135;40
29;73;66
14;37;11
220;286;114
71;47;193
262;57;247
61;49;22
66;28;234
101;111;112
3;218;59
30;178;93
252;127;288
91;268;136
226;68;186
68;259;95
93;255;120
71;205;196
192;108;91
226;247;244
261;238;196
201;112;278
284;299;169
270;218;277
222;96;168
121;111;283
275;119;223
199;290;198
121;2;297
123;261;72
15;281;47
64;223;80
56;298;278
190;107;282
133;30;173
16;58;111
271;104;11
297;227;239
109;158;207
280;41;188
32;196;292
99;209;48
12;252;30
281;173;143
268;43;216
138;42;250
7;119;262
145;190;248
106;186;33
79;289;109
278;133;90
94;253;256
217;63;188
101;82;134
22;174;225
163;141;138
80;30;170
224;192;13
21;197;144
279;12;228
178;14;45
218;19;107
8;124;109
46;157;270
3;3;218
257;79;176
160;225;104
34;20;102
272;100;240
200;238;159
214;221;194
277;208;287
102;107;65
33;81;246
16;107;283
226;106;125
19;105;204
193;86;224
197;202;210
265;135;77
204;21;250
94;99;240
62;195;120
213;72;24
70;256;27
27;66;252
213;120;152
104;59;79
217;35;134
216;290;81
157;255;258
236;123;255
289;207;11
280;254;8
73;266;168
280;244;167
214;128;265
236;90;29
269;47;243
282;9;134
171;137;261
214;289;57
231;280;245
71;137;114
59;165;28
219;208;221
100;128;246
155;258;288
134;44;103
148;8;56
42;138;213
260;202;154
111;232;238
50;16;147
26;226;265
287;115;66
114;181;27
175;22;161
52;286;271
204;117;142
174;127;192
235;93;97
246;47;41
88;78;54
175;106;74
28;204;39
10;236;212
141;192;224
156;222;201
62;155;31
69;96;60
139;270;80
67;205;285
54;209;209
147;189;71
163;56;242
148;120;268
31;148;91
144;201;160
177;101;116
267;131;51
262;104;42
195;294;65
254;298;218
235;54;94
241;108;176
270;52;155
28;281;195
199;34;62
269;245;180
141;174;160
281;201;125
121;211;33
72;294;211
12;295;199
282;30;243
129;260;85
20;97;118
195;223;84
92;228;71
176;267;207
156;266;145
149;252;201
250;71;106
104;299;263
168;216;131
