14;231
177;73
206;207
31;251
92;256
210;101
153;281
131;123
259;85
289;298
198;211
299;64
100;142
172;213
204;11
255;98
229;54
51;216
174;259
190;140
120;144
46;12
179;59
32;198
261;194
47;102
125;100
67;179
202;238
221;62
167;2
288;212
3;208
129;124
298;70
98;104
130;135
9;114
105;194
237;180
217;82
86;14
99;283
162;218
103;67
52;37
74;6
79;112
76;44
287;235
99;119
65;159
60;117
269;26
123;178
68;198
288;59
206;91
79;226
164;299
297;235
299;211
18;232
193;134
264;44
138;36
152;106
81;40
8;99
71;273
280;283
18;266
66;193
133;91
59;52
113;181
1;158
256;124
124;299
155;266
247;228
107;42
114;282
175;17
223;163
258;185
60;73
80;47
147;268
160;203
80;18
86;115
264;159
98;34
77;255
249;271
30;21
124;116
165;9
56;254
43;35
270;120
190;136
222;108
259;12
22;83
93;141
77;234
260;268
271;101
136;35
250;266
25;55
269;63
151;31
61;202
272;167
126;205
288;49
214;189
113;299
152;175
84;96
178;146
34;104
4;120
68;177
273;25
197;71
246;67
143;78
216;280
16;3
238;155
74;120
42;215
114;278
59;90
208;216
38;241
90;12
58;81
22;211
180;163
195;52
153;66
66;13
34;191
161;8
225;52
23;241
147;56
43;293
252;282
164;68
245;256
131;281
37;101
198;272
92;232
295;176
1;197
5;6
38;132
245;243
271;43
288;191
48;13
140;285
14;262
296;124
45;6
200;19
179;58
284;205
67;260
161;143
152;177
22;287
113;117
150;170
68;285
160;56
203;213
265;84
226;262
207;199
276;13
12;185
161;146
15;281
245;172
26;147
269;31
156;146
135;121
91;163
299;282
227;174
30;134
75;175
192;225
11;6
259;169
220;80
117;199
113;63
91;253
286;259
245;218
240;6
131;56
139;177
130;27
38;104
237;213
40;285
146;92
287;273
255;177
77;26
98;186
26;248
67;84
115;89
6;297
96;192
284;262
170;181
19;294
193;200
138;183
73;262
185;6
265;186
132;58
18;170
137;198
12;235
131;25
98;268
293;139
164;247
163;75
90;268
280;135
254;37
218;202
237;201
197;107
115;135
224;72
83;75
56;214
253;87
44;266
263;232
210;101
104;143
25;211
263;180
16;280
58;41
162;13
105;266
177;5
167;275
123;15
122;203
141;223
69;171
192;48
135;32
274;7
16;162
166;194
78;146
214;32
200;222
55;207
295;147
208;39
185;290
113;103
77;67
113;282
253;143
232;236
177;262
260;48
225;292
85;40
213;223
229;79
1;3
253;128
149;201
237;18
33;174
159;142
44;88
151;268
13;265
271;204
48;265
282;125
14;109
156;3
67;116
47;100
120;11
139;198
66;256
67;170
208;283
265;71
47;95
52;138
102;32
96;294
224;109
14;85
141;94
5;179
154;194
170;16
15;158
145;138
297;88
193;80
289;148
48;6
14;159
70;146
108;198
131;134
77;229
119;260
202;260
147;298
9;179
7;60
128;191
203;26
181;192
20;53
133;20
185;259
161;70
197;135
253;274
114;78
42;55
167;275
72;262
160;46
105;212
133;230
280;39
43;14
105;61
115;108
53;222
14;129
199;269
163;82
259;11
69;252
49;216
122;118
201;129
34;72
110;275
30;293
98;115
94;258
18;87
256;26
96;121
163;115
231;141
33;263
130;10
228;66
298;211
280;89
1;76
264;194
268;104
50;202
16;190
281;143
264;197
132;258
231;59
220;134
227;89
34;189
79;161
267;200
203;88
25;187
233;256
73;297
27;228
47;277
268;272
264;201
32;202
247;242
44;17
59;220
127;164
182;34
119;60
18;20
101;82
271;189
146;3
273;273
241;46
92;73
52;24
288;251
154;277
66;204
238;107
116;245
90;190
179;162
70;211
127;37
68;257
111;172
162;32
160;87
196;101
292;40
37;191
85;124
252;72
235;138
112;150
39;198
136;234
183;159
12;284
23;292
47;200
56;222
15;44
24;184
227;285
15;165
31;31
152;193
44;78
170;225
205;30
285;206
137;189
148;167
197;199
7;57
129;287
237;139
264;51
253;116
42;138
219;78
117;183
65;178
238;135
169;113
72;5
32;34
5;139
6;271
69;183
123;225
144;246
275;196
5;192
192;52
177;44
290;197
185;98
270;50
88;33
90;237
144;152
54;118
114;292
83;200
191;285
28;21
265;48
20;270
227;71
3;219
122;157
240;52
31;77
295;30
261;49
182;81
112;26
81;247
89;273
265;117
261;272
260;117
159;33
187;59
41;200
70;76
238;279
129;193
155;241
8;276
25;164
254;154
65;139
184;269
195;60
243;249
137;151
73;291
66;67
158;278
29;144
87;50
271;282
109;282
191;63
208;187
59;129
155;18
127;117
291;225
191;246
154;171
251;117
136;206
31;85
245;50
101;8
35;151
186;281
69;171
174;223
116;297
65;185
11;16
103;15
247;41
124;175
116;65
241;193
20;261
254;268
147;167
254;27
103;218
95;97
236;253
296;268
250;140
82;276
43;260
129;247
230;189
67;154
286;181
131;234
168;194
127;92
252;61
288;145
101;164
99;108
220;156
183;116
206;25
123;117
87;154
266;165
283;74
77;196
259;180
291;36
49;292
51;106
210;180
281;192
61;201
270;26
199;107
161;228
276;217
64;87
27;64
189;77
180;246
62;206
88;23
283;123
60;73
153;156
183;155
47;128
167;253
297;179
34;165
115;173
129;84
54;94
74;67
148;71
40;118
96;156
162;224
15;76
161;23
3;279
141;267
274;98
280;12
35;186
166;280
84;248
132;264
103;115
240;64
196;295
131;196
43;197
64;44
257;67
50;266
109;90
20;157
136;133
127;74
261;22
108;223
87;41
274;205
73;193
34;209
122;63
102;92
233;21
203;130
155;291
117;170
175;118
40;251
34;96
119;22
189;100
132;196
122;42
273;256
288;200
87;59
168;262
242;22
125;39
237;119
259;164
197;113
123;119
35;198
175;154
233;174
11;57
70;47
277;30
191;117
91;195
280;199
257;222
218;99
58;12
227;70
260;126
158;193
270;215
1;81
23;65
247;69
271;76
90;234
31;213
245;215
239;121
298;263
169;246
26;193
293;124
149;173
15;30
87;268
196;231
89;102
93;67
146;33
224;287
98;261
83;209
93;205
267;54
220;72
85;157
129;126
42;152
16;210
121;36
224;90
53;9
247;299
41;233
202;280
181;291
213;118
47;297
203;292
47;195
280;232
96;30
242;147
298;241
121;83
29;11
77;16
34;232
102;54
165;164
119;20
77;112
239;107
280;111
8;263
90;148
276;44
219;248
4;155
230;62
253;125
119;184
136;162
247;36
273;135
252;4
1;18
58;209
